brand,product_type,product_price,product_actual_price,product_page_url,product_img_url
U.S. Polo Assn.,Solid Pure Cotton Casual Shirt,Rs. 1379,Rs. 2299,https://www.myntra.com/shirts/u.s.+polo+assn./u-s-polo-assn-men-green-solid-cotton-classic-everyday-shirt/20384240/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20384240/2025/3/15/43fd1f5b-df34-4eb8-847d-febefa143e001742031312147-U-S-Polo-Assn-Men-Green-Solid-Cotton-Classic-Everyday-Shirt--1.jpg"
VANI COUTURE,Casual Shirt,Rs. 497,Rs. 999,https://www.myntra.com/shirts/vani+couture/vani-couture-boys-buffalo-checks-checked-casual-shirt/38074010/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/24/yooRwW6O_866aca672a9d4ebfb0f86a7bd7b4e3d6.jpg"
Allen Solly Junior,,Rs. 741,Rs. 1399,https://www.myntra.com/shirts/allen+solly+junior/allen-solly-junior-boys-vertical-striped-pure-cotton-casual-shirt/37945953/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/8/YoEg0eq8_484b469e92d74e81a980922f80a28019.jpg"
Nautica,Men Solid Linen Casual Shirt,Rs. 1177,Rs. 3799,https://www.myntra.com/shirts/nautica/nautica-men-solid-button-down-collar-linen-casual-regular-fit-shirt/34815150/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/9/ZQS24S7b_7c675d1b794843bd8fd9c80c5272b8c0.jpg"
HELLCAT,Printed Opaque Casual Shirt,Rs. 409,Rs. 1999,https://www.myntra.com/shirts/hellcat/hellcat-boys-floral-cotton-opaque-printed-casual-shirt/30175017/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30175017/2024/7/10/c0a20dfc-772c-4943-8ee0-bf982be5a0211720634275454HELLCATBoysFloralOpaquePrintedCasualShirt1.jpg"
United Colors of Benetton,,Rs. 1059,Rs. 1999,https://www.myntra.com/shirts/united+colors+of+benetton/united-colors-of-benetton-kids-boys-striped-pure-cotton-shirt/32634631/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32634631/2025/4/29/f142b5b4-9fda-4dc8-a778-122bdf485d9c1745918366643-United-Colors-of-Benetton-Kids-Boys-Striped-Pure-Cotton-Shir-1.jpg"
HIGHLANDER,Men Printed Casual Shirt,Rs. 503,Rs. 2099,https://www.myntra.com/shirts/highlander/highlander-men-printed-casual-shirt/32624717/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/3/6TwZUnYI_c30eedc7d9ee4a059a2a5f4d64a4dd2e.jpg"
Allen Solly Junior,Boys Regular Fit Casual Shirt,Rs. 968,Rs. 1899,https://www.myntra.com/shirts/allen+solly+junior/allen-solly-junior-boys-regular-fit-casual-shirt/36251519/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/3/WfV6F56E_2821316b209241dea42e7dcbaac1810d.jpg"
Rocket Science,,Rs. 634,Rs. 1299,https://www.myntra.com/shirts/rocket+science/rocket-science-boys-classic-slim-fit-casual-shirt/34664549/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/31/QS3ELd3k_52c96f4eeab9429d8d54855021dac646.jpg"
U.S. Polo Assn.,Men Pure Cotton Casual Shirt,Rs. 1209,Rs. 2199,https://www.myntra.com/shirts/u.s.+polo+assn./u-s-polo-assn-men-blue-and-white-tailored-fit-striped-pure-cotton-casual-shirt/19446150/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19446150/2023/8/23/e46aefbf-e96c-4c4b-9da3-7b3835fa1f331692786708270USPoloAssnMenBlueAndWhiteTailoredFitStripedPureCottonCasualS1.jpg"
The Indian Garage Co,Men Casual Shirt,Rs. 454,Rs. 1749,https://www.myntra.com/shirts/the+indian+garage+co/the-indian-garage-co-men-comfort-checked-casual-regular-fit-shirt/17357388/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17357388/2023/1/13/bc163292-c398-4477-b731-7794d1a58abb1673583656025-The-Indian-Garage-Co-Men-Shirts-6141673583655491-1.jpg"
Zombom,,Rs. 499,Rs. 1699,https://www.myntra.com/shirts/zombom/zombom-men-party-shirt/39766701/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/31/HF5BrY9W_cbe4b90bd392440d96eba09a1351252a.jpg"
THE BEAR HOUSE,Solid Slim Fit Cotton Shirt,Rs. 873,Rs. 2495,https://www.myntra.com/shirts/the+bear+house/the-bear-house-men-beige-solid-slim-fit-cotton-shirt/19347680/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19347680/2022/8/11/bab8ebf1-5c92-4f6a-bdb9-ce7338dfaad01660214041988-THE-BEAR-HOUSE-Men-Shirts-4561660214041434-1.jpg"
United Colors of Benetton,Opaque Casual Shirt,Rs. 839,Rs. 1999,https://www.myntra.com/shirts/united+colors+of+benetton/united-colors-of-benetton-boys-gingham-checks-opaque-checked-casual-shirt/33450952/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/3/DQm39fEf_4a0052cf48cc459f9ac39e97e173fa50.jpg"
CORSICA,,Rs. 492,Rs. 1299,https://www.myntra.com/shirts/corsica/corsica-women-comfort-slim-fit-solid-spread-collar-tie-ups-details-casual-shirt/37360843/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/7/t2MDIH27_d48673ab62f24f83aea1c485544b4447.jpg"
